title	originalTitle	sortingTitle	summary	platformList	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
2x Overwatch Loot Boxes	2x Overwatch Loot Boxes	2x Overwatch Loot Boxes		['Humble Bundle']					2022-04-03	2022-04-03			Key		False	['Linux', 'macOS', 'Windows']			
"3 out of 10, Ep. 1: ""Welcome to Shovelworks"""	"3 out of 10, Ep. 1: ""Welcome to Shovelworks"""	3 out of 10 Ep 1 Welcome to Shovelworks	Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.	['Epic Games Store']		['Terrible Posture Games LLC']	['Adventure']		2020-08-06	2020-08-06	['Comedy']		0.5 ore	['3 Out of 10 Ep 2 Foundation 101']	False	['Windows']	https://images.gog.com/77861f38eb0bdc97b5fd50a0d539cf888b19c61a828532e78259d89f67521e55_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8b9de4f9c215ffe205af92cf7c6c1b0b5c6f96ad57b466b341c05812ba8e4d55_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/8b9de4f9c215ffe205af92cf7c6c1b0b5c6f96ad57b466b341c05812ba8e4d55_glx_vertical_cover.webp?namespace=gamesdb
3 Out of 10 Ep 2 Foundation 101	3 Out of 10 Ep 2 Foundation 101	3 Out of 10 Ep 2 Foundation 101	Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.	['Epic Games Store']		['Terrible Posture Games, Inc.']	['Adventure']	['Terrible Posture Games, Inc.']	2020-08-06	2020-08-06	['Comedy']				False	['Windows']	https://images.gog.com/93f3bb8bc1a9ed108af527ec85c88517fa4f60fc90517211c6e95b851f1b05b6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e6a50c6c9a9f24e4239f4d79b88156ea0a4336ea3e08e075a493094f16d2c806_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/0af7b3dd784b79577e522684d24bfa6501c681b42ed0753295649657be98e405_glx_vertical_cover.webp?namespace=gamesdb
"3 out of 10, EP 4: ""Thank You For Being An Asset"""	"3 out of 10, EP 4: ""Thank You For Being An Asset"""	3 out of 10 EP 4 Thank You For Being An Asset	Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.	['Epic Games Store']		['Terrible Posture Games, Inc.']	['Adventure']	['Terrible Posture Games, Inc.']	2020-08-27	2020-08-27	['Comedy']				False	['Windows']	https://images.gog.com/14b2e8bdaa4c03bfcf29678fab46a96dd52777fbdf49675f92afcd8c660d4e3c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/bb7f934ccd89569e42e95755f09987072b70868a8eaa3bbf649b25efa165b0d7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/42ed7c00178fa57bc616151b4a6c9eea07c3679e611393188de08901586a47f8_glx_vertical_cover.webp?namespace=gamesdb
"3 out of 10, EP 5: ""The Rig Is Up!"""	"3 out of 10, EP 5: ""The Rig Is Up!"""	3 out of 10 EP 5 The Rig Is Up	Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week Midge joins Shovelworks Studios as a new animator, but not all is as it seems at the studio.	['Epic Games Store']			['Adventure']		2020-09-03	2020-09-03	['Comedy']				False	['Windows']	https://images.gog.com/f85568645d1caf0b47d6504118ae04584f864579f244f04f191bdc4ad967be2a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d98f677c64e6db09c4b1ad8d365e809cf9d5e134b8c74aa0a19e2981cd73832d_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/49f26b33b867ba2a13aa37e0c7c57baff89b7a109db4f7cdf18fe8c52445b483_glx_vertical_cover.webp?namespace=gamesdb
"3 out of 10, Episode 3: ""Pivot Like A Champion"""	"3 out of 10, Episode 3: ""Pivot Like A Champion"""	3 out of 10 Episode 3 Pivot Like A Champion	Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical. This week the team settles a question the way only game developers can; with an office wide Battle Royale.	['Epic Games Store']		['Terrible Posture Games, Inc.']	['Adventure']	['Terrible Posture Games, Inc.']	2020-08-20	2020-08-20	['Comedy']				False	['Windows']	https://images.gog.com/ea83397b6633ce6d954add7ff91533b9ea6f7006878b0c86e6408614ff5fcc77_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6339af4ec52377197ad63b72a5d44b29dccd399350bbd37ef8394270626f2410_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4884e950c015643623f983fbd6f5f78f6ce23eaadb6905b03b6b90465bf51d1d_glx_vertical_cover.webp?namespace=gamesdb
3 out of 10: Season Two	3 out of 10: Season Two	3 out of 10 Season Two	Caffeinated super-powers, sentient AIs, and rival game studios all stand in the way of Shovelworks studios as they struggle to finally make a game that scores better than “3 out of 10”. Will this be the Season that they finally do it?	['Epic Games Store']		['Terrible Posture Games']	['Adventure']	['Terrible Posture Games']	2021-04-08	2021-04-08	['Comedy']				False	['Windows']	https://images.gog.com/727f5c5dc6d22b146c3fbdfd890bcdcb4767b3877f323e438b110e729b8e6a22_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/2bd6f2bb8932ffbce60289942b99a68edc4bb8ec64568d33828f0a1210735bd3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/fafa74fc18562f17e35a5fda2a4ccf1df0376140a4343c0d2cccc81f7b3a9b0b_glx_vertical_cover.webp?namespace=gamesdb
3D Waifu - a physical experience	3D Waifu - a physical experience	3D Waifu a physical experience	Have sex with your bff!\nWe have created a realistic sex game with great physics for her body reactions.	['IndieGala']		"[""porn's pub""]"	['Simulator']	"[""porn's pub""]"	2020-09-25	2020-09-25	['Erotic']				False			https://images.gog.com/e9bb023bea35c3378ff1408d78c85a6542cfc88a8001d587496c35c1a807e809_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/e9bb023bea35c3378ff1408d78c85a6542cfc88a8001d587496c35c1a807e809_glx_vertical_cover.webp?namespace=gamesdb
3on3 Freestyle (Europe)	3on3 Freestyle (Europe)	3on3 Freestyle Europe	Welcome to one of the most vibrant, diverse, exciting and competitive but unifying sports in the world - street basketball. Pick your player from a pool of custom-designed, one-of-a-kind characters based on real-life street basketball players, team up with your friends online or in-person, and hit the court to play authentic, fast-paced 3 on 3 street basketball real-time matches against live opponents in settings inspired by the world’s most-revered street basketball venues. Once the ball is tipped, you can take on opponents with the signature, jaw-dropping basketball tricks each character possesses, link up with your teammates for soaring alley-oops and no-look passes, and create your own style which turns you into a street basketball legend.	['PlayStation Network']		['Joycity Corporation']	['Sport']	['Joycity Corporation']	2016-12-06	2016-12-06	['Action', 'Comedy', 'Party']				False		https://images.gog.com/2ff57fa8dedd0fafae59e911e891ddb7c0f4b634a6ab54413efec110b0123d08_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/4344b20067730c3d54dbee1e3835315ddb49d7d6761007ad19f5415094392942_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f334a14d73af5f286601715b9d43d22f5f7f9bc87dd220ea85403ce682f26ad3_glx_vertical_cover.webp?namespace=gamesdb
7 Days to Die	7 Days to Die	7 Days to Die	Set in a brutally unforgiving post-apocalyptic world overrun by the undead, 7 Days to Die is an open-world game that is a unique combination of first person shooter, survival horror, tower defense, and role-playing games. It presents combat, crafting, looting, mining, exploration, and character growth, in a way that has seen a rapturous response from fans worldwide. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!	['Humble Bundle', 'Steam']	36	['Iron Galaxy Studios', 'The Fun Pimps Entertainment LLC']	['Adventure', 'Indie', 'Role-playing (RPG)', 'Shooter', 'Simulator', 'Strategy']	['Telltale Games', 'The Fun Pimps Entertainment LLC']	2013-12-13	2013-12-13	['Action', 'Horror', 'Open world', 'Sandbox', 'Survival']		Key		False	['Linux', 'macOS', 'Windows']	https://images.gog.com/43c7f893dfda36f8407305778225bf1eb1b25132667b01c5191ba0b2eb0f8d44_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/9208f49b00250f6e8c2044b6e9e7c2727aa649462dd84f0d3d8ec7fd97af7da3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4cfaad284c069969b9d7c91213b213f6fe69c124919d19cbffd72f1cd7c079e2_glx_vertical_cover.webp?namespace=gamesdb
